content,label
連絡が遅れてしまい、申し訳ありませんでした。,2
来週、タカラの台湾代理店に勤め始めます。,1
過去の経験からいえば、この工事は一日以内で終わります。,1
少し緊張気味で、大好きな酒も喉を通らない。,0
社長はもうお帰りになりました。,2
僕に逆らう者は親でも殺す。,0
心身ともに大変だと思いますが、強い気持ちを持って頑張って乗り越えてください。,1
ご多忙のところ恐縮ですが、ご返事いただければ幸いです。,2
同事務所には、日本への謝礼のメールも多数寄せられた。,0
中国による統制が強まる香港でも、新型コロナウイルス対策を理由に恒例だった追悼集会が禁じられた。,0
社長は明日の営業会議にご出席になります。,2
この仕事を任せられるのは、あなたをおいては考えられない。,0
はじめまして、どうぞよろしくお願いいたします。,2
残念なことに、東大との試合に負けてしまいました。,1
この青春の始まりを、悔しいのないように大切にしたい。,0
雨が降ると、雪が解けます。,1
会いたい人がいるなら会う。,0
収入に応じて、払わなければいけない税金は異なります。,1
ただいまより、来年の戦略方針についてご報告します。,2
あなたのご希望に応じて商品を生産していくつもりです。,2
弟は大学に合格ができた。本当にうれしいことだ。,0
彼女は英語に加えてフランス語も話せるそうだ。,0
陳さんは専門的な知識に加えて、経験も豊富な方です。,1
今後とも順調に発展させていきたいと望んでおります。,2
日本の大学生と交流を通じて、日本文化に対する認識を深めた。,0
能ある鷹は爪を隠すって好きです。,1
明日午後3時に会社前集合でよろしいでしょうか。,2
今日は雨に加えて風も強いね。,0
高層マンションの建設に先立って、住民と建設会社との話し合いが行われた。,0
大体の事情はお分かりいただけましたか。,2
冗談は抜きにして、そろそろ本題に入りましょう。,1
個人の感情を抜きにして、客観的に分析すべきだ。,0
明日は断水しますのでご注意願いします。,2
日本の漫画をもとにして、たくさんのアニメやゲームが作られている。,0
子供の親権をめぐって、裁判が行われた。,0
このドラマは1人の女性をめぐって、4人の男性が争うストーリーです。,1
皆様のご援助を仰がなければなりません。,2
試験の結果をもとにして、合格か不合格か判断します。,1
大学卒業に伴って引っ越しすることになった。,0
後ほどお電話を差し上げます。,2
お待ちいただけないでしょうか。,2
私は娘のために毎日愛を込めてお弁当を作っています。,1
殺意を込めて料理に毒を入れた。,0
本日はご来店くださいまして、ありがとうございます。,2
感謝の気持ちを込めて、母に手紙を書きました。,1
地震の規模はモーメントマグニチュードで、発生時点において日本周辺における観測史上最大の地震である。,0
この震災での犠牲者の死因のほとんどが、津波に巻き込まれたことによる水死であった。,0
外国で買う日本語教科書には面白いものがたくさんあります。,1
エスカレーターやエレベーターじゃなくて、階段かいだんを使つかうようにしています。,1
佐藤さんはいらっしゃいますか。,2
ちょっと暑いですね、窓を開ませんか。,1
ゲームは相手が強ければ強いほど、おもしろいです。,1
お手紙を拝見しました。,2
先生はそのことをすでにご存知です。,2
先生の作品を拝見しましたが、とても素晴らしかったです。,2
雨が強くなってきました。,1
私が日本語を話すのを発見したときの子供たちの驚きようといったらなかった。,0
この肉は、もう食ないほうがいいだろう。,0
うちの庭に、ときどきねこがいる。,0
人は、死と、天国や地獄に行くらしい。,0
ジェームさんは彼女ができて、幸せだと思います。,1
どうぞ召し上がってください。,2
逃るほうが、戦うよりいいですよ。,1
都の基準で集計した5日時点の重症の患者は4日と変わらず62人でした。,1
開店と同時に買い物客が店内に入ってきた。,0
昨年交通事故によって亡くなった人は、おととしより減少した。,0
その話は昔読んだはずですが、覚えていません。,1
お引っ越しの際の手続きについてはホームページをご覧ください。,2
昨日の夜、ちゃんとカバンに入れておけばよかったです。,1
この新しいマウスを使ったら、仕事がもっと速くできるようになるだろう。,0
皆様には後ほど詳しくご説明します。,2
組み合わされている円と正方形について分析しよう。,0
おいしい食事をいただきました。,2
お前、熱があるだろ、もう帰って早く寝ろよ。,0
お金や時計だけじゃなくて、電子レンジまで盗みました。,1
バイクに乗るときは、ヘルメットをかぶらなければいけません。,1
さっきのレストランに忘れてきたみたいだね。,0
先生に事情を申し上げました。,2
そろそろお客様がお見えになる頃です。,2
カラオケで一曲を歌い終わったので、となりの人にマイクを渡しました。,1
ベットの下など、掃除しにくいところも、この掃除機があれば簡単に掃除ができますよ。,1
最近朝食抜きの子供が多くなっている。,0
血液には血液型という種類があることを知っていますか。,1
海外では、チップを払わなければいけない国もある。,0
この本を差し上げましょう。,2
明日にでも伺う予定です。,2
あの人のことを忘れようとしても忘れられません。,1
スペシャルゲストを笑いでもてなすライブを開催する番組です。,1
今回は佐々木久美が好きな芸人10組を登場させてネタをさせるという最大級のムチャブリがなされる。,0
大谷選手は、打率が2割5分5厘に下がりました。,1
こちらの服をお召しになりますか。,2
現在、源氏物語は日本のみならず20か国語を超える翻訳を通じて世界各国で読まれている。,0
6月1日付けでご注文いただきました商品の納品日につきまして、ご連絡申し上げます。,2
いつもお世話になっております。,2
厳しい意見が続くなか、ある委員が諭すような口調で語った言葉が印象に残った。,0
最短でいつ発送して頂けますか。,2
擔當者の異動についてご連絡いたします。,2
私はお酒が強いんですが、昨日は酔っ払ってしまいました。,1
新しい情報を作れば災害から命が守れるわけではない。,0
入院するほど悪化するとも思っていませんでした。,1
この度は、弊社商品の資料請求をいただき、誠にありがとうございます。,2
国内旅行というには、少し遠くに来てしまった。,0
すみません、鈴木主任、十月六日から少し休まさせていただきます。,2
まぁ、労基が色々うるさいからさ、適当にどっかで休んで。,0
なんでアイツがどこぞの温泉旅館に泊まってる間に、俺らがアイツの分まで仕事しなきゃいけねえんだよ。,0
はいはい、わかったよ。,0
これが原因で雨が同所で長間たくさん降って、災害になったことが何度どもありました。,1
お前、毎日そんなカップ飯とカロリーメイトじゃ元気でねえだろ。,0
ご教示いただければ幸いです。,2
かしこまりました。,2
歩くときは、滑りにくい靴を履いてください。,1
危険なときに助けてもらうことができるように、2人以上でしましょう。,1
毎日炎暑が続いておりますが、いかがお過ごしでしょうか。,2
自転車には乗らないでください。,1
せっかくのお誘いですが、只今仕事に追われておりまして、時間をとることが難しい状況です。,2
そしてそこには、見たこともない世界が広がっていた。,0
いや、それこそありえない。,0
なんで私の名前知ってるんですか。,1
名前を呼んでも答えることができないときなどは、すぐに病院に連れて行きましょう。,1
ご多忙のところ、まことに恐縮でございます。,2
ガイチ、というのはたぶん他県という意味だろう。,0
日本近代文学史を受講している、文学部2年2組の李正男です。,1
本や勉強法について、何かアドバイスをいただけないでしょうか。,2
ホテルなどに泊まるときや、試合の会場に行くときなどに気をつけることなども決めました。,1
お手数をおかけして申し訳ありませんが、よろしくお願いいたします。,2
その場にいる誰も彼もがこのハレの日を、祭りという一瞬の非日常を祝福しているようだった。,0
これどこまで続いているんだよ。,0
あなたが暇な時に相談してもいいですか。,1
今学期の期末レポートの件ですが、いま考えているトピックや内容について、少しご相談できればと思います。,1
先ほどのスピーカーから若い女性の声が聞こえた。,0
お忙しいところご返信ありがとうございます。,2
先生のご都合のよい時間をお聞きして、研究室の方にうかがいたいと思いますが、よろしいでしょうか。,2
そういや、お祭りなんてずっと行ってなかった。,0
このため、日本は今月、アストラゼネカの124万回のワクチンを送りました。,1
去年の同じときも半分の学校が、運動会を予定より遅くしたり、やめたりしていました。,1
お名前を伺ってもよろしいですか。,2
ふつふつと、頭の中で様々な疑問が泡のように浮かび上がっては弾けた。,0
今度いらっしゃるのはいつですか。,2
お客様がご到着になる予定です。,2
私が挑発するようにそう尋ねると、彼女は怒ったように言い返した。,0
東京の渋谷にある本屋では、朝からたくさんの人たちが漫画を買っていました。,1
これ、漢検一級保持者でもない限り解読不能だろ。,0
これは、先生がお読みになる本です。,2
校長先生のおっしゃるとおりです。,2
こんなに漫画が長く続くと思っていませんでした。,1
国が払うお金は1人550万円から1300万円で、病気がどのくらいひどいかで決まります。,1
子供たちは一斉に私に好奇の目を向けてきた。,0
このお金をもらうことについて電話で国に相談できます。,1
先生は、北海道に旅行なさるそうです。,2
私が困り顔で聞き返すと、彼は大声で怒鳴った。,0
お客様がご到着になる予定です。,2
先生が熱心に本をお読みになります 。,2
私は以前、日本のどこかの地方では鶏肉の刺身を食べる風習があるという話を聞いたことがあった。,0
海の中で生き物を食べるマンボウを撮ったのは珍しいことです。,1
カメラが撮ったほとんどの場所は、深い海のようです。,1
多いのは、歯を磨いているときに子どもが転ぶ事故です。,1
歴史に興味をお持ちだそうです。,2
私は一足先にお風呂を借り、一人だけ客間に布団を敷いて横になった。,0
先生が私をご指導くださいました。,2
そういや、五年前の旅行の初日も朝寝坊して、危うく飛行機に乗り遅れたっけ。,0
笹生選手はお父さんが日本人で、お母さんがフィリピン人です。,1
新しい法律では、子どもが生まれてから8週間以内に、男性が4週間休むことができます。,1
お母さまがきっとお喜びなさるでしょう。,2
もしかして納豆って何か知りませんか。,1
先生が合格祝いをくださるそうです。,2
どんな本をお読みになりますか。,2
この時私はなぜか、少しうれしいような、それでいて寂しいような複雑な気持ちになった。,0
十月ともなって気温はそこまで高くなかった。,0
今は1か月前までに会社に休むことを言わなければなりませんが、新しい法律では2週間前でもよくなります。,1
6月3日、東京オリンピックまで50日になりました。,1
先生が合格祝賀会にいらっしゃいます。,2
しばらく見ない間にとても大きくなっていました。,1
皆さんにいいニュースを伝えることを楽しみにしています。,1
今度は体が硬くて上手く腰が曲がらない。,0
3列に並んでお待ちください。,2
とにかく通訳がいる体操なんて、私はもう二度とやりたくない。,0
私は先生の言葉を拝聴します。,2
明日、御社に伺います,2
団体は、亡くなった人のために祈る会を6月4日に行う予定でした。,1
そして、子どもが先生などに言わなくても使うことができるように、トイレの中に置きました。,1
脳内で思わず突っ込みを入れてしまった。,0
美味しくいただきました。,2
もう黄色くなった実は店頭に並ぶ頃にはダメになってしまう。,0
学校で子どもが安心して生活できるように、必要なことだとわかりました。,1
私からご報告します。,2
このような会社の間では、働く人を早く決めたいと考えて競争が激しくなっていることがわかります。,1
わかってもらえて、よかったです。,1
先輩にお手紙をお送りしました。,2
ご連絡はいつしましょうか。,2
私は彼の独特な英語の発音に突っ込んだ。,0
そのどれもが彼をこの町に縛り付けている。,0
読んでいる間、すぐ泣けるし、声出ちゃうし、鳥肌立ちまくりだし、酸素が足りなくなる。,0
進むにつれて次々と謎が謎を呼び、やがて壮大な物語に繋がっていく流れが圧巻です。,1
私はそのことについて先生に伺います。,2
私たちの世界に巨人はいない。,0
先生がそのことについて私にお聞きになりました。,2
来月で終わってしまいますが、何回も見直して奥深か理解したいと思っています。,1
海岸で酒を飲んではいけません。,1
明日から東京へ参ります。,2
私はこの件について伺っております。,2
